model,lmbda,rho,alpha,dobs,seed,X_rmse,Y_rmse,Z_rmse
magi,,28.0,0.0005,20,0,0.23571150584780873,0.34366092753227173,0.4334108354645286
magi,,28.0,0.0005,20,1,0.5603154256395039,0.8593174785178606,1.0483072715850628
magi,,28.0,0.0005,20,10,0.29926700673805284,0.4526020455696215,0.5556463589881211
magi,,28.0,0.0005,20,11,0.6433532523649933,0.9854280694027485,1.199343083490591
magi,,28.0,0.0005,20,12,0.644084692781099,0.9851033759353843,1.206439441063982
magi,,28.0,0.0005,20,13,0.6087694119246558,0.9338590832211949,1.1350847133878406
magi,,28.0,0.0005,20,14,0.5724504153586885,0.8777829452268764,1.0683350743440774
magi,,28.0,0.0005,20,15,0.4319088201589837,0.663623366541623,0.8033296982088955
magi,,28.0,0.0005,20,16,0.29521097882869757,0.44348823042354146,0.5512448081460174
magi,,28.0,0.0005,20,17,0.6619617026109869,1.0149401360488146,1.2319831441018194
magi,,28.0,0.0005,20,18,0.8955309290045481,1.3602874972218486,1.6624167445031823
magi,,28.0,0.0005,20,19,0.5033155591631532,0.7701784268776729,0.9429425564435622
magi,,28.0,0.0005,20,2,0.8583583583905207,1.307454699643603,1.5924916377222351
magi,,28.0,0.0005,20,20,0.2417015939685482,0.3676154809431835,0.44760260349556696
magi,,28.0,0.0005,20,21,0.4026606201108539,0.6116983955772316,0.7525087762909726
magi,,28.0,0.0005,20,22,0.6795174869602884,1.0375919567071195,1.2653838246049947
magi,,28.0,0.0005,20,23,0.49842418053033966,0.7627793590357536,0.9336509005776007
magi,,28.0,0.0005,20,24,0.684562288426094,1.0482133325786571,1.272490686695252
magi,,28.0,0.0005,20,25,0.4697701626298453,0.7207437258686074,0.8778509821805174
magi,,28.0,0.0005,20,26,0.3888035688868216,0.5973232512025932,0.726153515633052
magi,,28.0,0.0005,20,27,0.36641529168993675,0.5621463041416009,0.6836863574311153
magi,,28.0,0.0005,20,28,0.17560132491771305,0.24267232339632172,0.31102654380491757
magi,,28.0,0.0005,20,29,0.3571507552641231,0.5385691102068569,0.6716810871154187
magi,,28.0,0.0005,20,3,0.4642858127710756,0.71485636810075,0.86957069022771
magi,,28.0,0.0005,20,30,0.34109590895094105,0.5181720477695851,0.6386208849531895
magi,,28.0,0.0005,20,31,0.5474600487559157,0.8424260783302271,1.0218509171840429
magi,,28.0,0.0005,20,32,0.5495903956636423,0.8481778718688799,1.0231604707052102
magi,,28.0,0.0005,20,33,0.5680760469825806,0.8705456468060283,1.0600116086862952
magi,,28.0,0.0005,20,34,0.6826768001779762,1.0484930885866484,1.2720739835028183
magi,,28.0,0.0005,20,35,0.6456286371136309,0.9888485680993149,1.2029523754069704
magi,,28.0,0.0005,20,36,0.7331771955376856,1.1161830204458851,1.3676037577734705
magi,,28.0,0.0005,20,37,0.8599262632809355,1.3128461084895442,1.5994335993155961
magi,,28.0,0.0005,20,38,0.624789246688389,0.9559123670227395,1.1627261690379582
magi,,28.0,0.0005,20,39,0.40550167908579265,0.624734620246451,0.7612072354141628
magi,,28.0,0.0005,20,4,0.5345867502661038,0.8182580123099842,1.0001306598200184
magi,,28.0,0.0005,20,40,0.25401917984184014,0.37678184329272035,0.47555006214791273
magi,,28.0,0.0005,20,41,0.2959312836026984,0.4512624058046877,0.554677723176047
magi,,28.0,0.0005,20,42,0.6509543887302501,0.9980870838863527,1.2149733817234547
magi,,28.0,0.0005,20,43,0.32304034614429755,0.4863782935408473,0.6077121647094386
magi,,28.0,0.0005,20,44,0.7522525337708882,1.1518344486670047,1.398946517223877
magi,,28.0,0.0005,20,45,0.6402685373744003,0.9775745368506925,1.1935603854369854
magi,,28.0,0.0005,20,46,0.3694813147986622,0.5668956378776983,0.6912466070405984
magi,,28.0,0.0005,20,47,0.7631610765977902,1.1703029749739735,1.4150782620793432
magi,,28.0,0.0005,20,48,0.6433251038061942,0.9834640804162488,1.201615963413947
magi,,28.0,0.0005,20,49,0.36455141156887483,0.5592073293223669,0.6828666558933275
magi,,28.0,0.0005,20,5,0.16079428048667083,0.2168842359783072,0.278997385009651
magi,,28.0,0.0005,20,50,0.4062544367661411,0.6276518975159018,0.7611962332425133
magi,,28.0,0.0005,20,51,0.6586532543435182,1.0109356711814608,1.2224685081736142
magi,,28.0,0.0005,20,52,0.851143844429057,1.2966425565578097,1.5799815456947026
magi,,28.0,0.0005,20,53,0.7693014593757079,1.1769581678443435,1.4268075763547863
magi,,28.0,0.0005,20,54,0.4331434650399309,0.6624140050129039,0.8068794167237882
magi,,28.0,0.0005,20,55,0.3018112043503747,0.44857364762118823,0.5632417562885863
