model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
magi,,23.0,0.05,10,4,0.39521803195937993,2.1830812477665544,2.5475930906743387
pinn,0.1,23.0,0.05,10,4,0.2031376199347217,0.1971840149573416,0.2995901451589093
pinn,1.0,23.0,0.05,10,4,1.0318008252753388,0.5051952819306514,1.2077454857455168
pinn,10.0,23.0,0.05,10,4,2.765207837262306,4.09363007458876,4.3077369603075
pinn,100.0,23.0,0.05,10,4,8.801179848833325,11.213516013480236,9.689794356312959
pinn,1000.0,23.0,0.05,10,4,19.14489862795175,20.013899884357325,18.410843451993422
magi,,23.0,0.05,10,5,0.3890775291523841,2.030226334265894,1.9024989016000402
pinn,0.1,23.0,0.05,10,5,0.36462028591106005,0.21507760646659366,0.19855133447988862
pinn,1.0,23.0,0.05,10,5,1.059470645154621,2.2561932227625365,2.5016555007167214
pinn,10.0,23.0,0.05,10,5,1.872396439418323,2.187732084833791,2.001998466773695
pinn,100.0,23.0,0.05,10,5,7.8954801068764855,8.527359744083995,5.869151238810297
pinn,1000.0,23.0,0.05,10,5,17.210645273838455,19.983224890090586,17.701359897825554
magi,,23.0,0.05,10,6,0.3627605015989988,1.609347103821412,2.6920340908214695
pinn,0.1,23.0,0.05,10,6,0.21125035747981516,0.3189742129072773,0.3092884260717837
pinn,1.0,23.0,0.05,10,6,1.657556033024925,1.7677689041518572,2.2230335658326945
pinn,10.0,23.0,0.05,10,6,4.114012840866147,4.028399831016113,3.077496237379572
pinn,100.0,23.0,0.05,10,6,6.120872717832862,5.456616268797825,5.668387117095768
pinn,1000.0,23.0,0.05,10,6,17.181433603040734,20.136867338227493,16.26453907291964
magi,,23.0,0.05,10,7,0.5455302310145329,1.7092328232300418,1.8517162301786292
pinn,0.1,23.0,0.05,10,7,0.21823160046368179,0.2814221550473307,0.3456596015917993
pinn,1.0,23.0,0.05,10,7,3.412318346778072,1.7989791525525736,1.8738672328567807
pinn,10.0,23.0,0.05,10,7,3.1358034868496314,3.6178222849166786,6.262801771726332
pinn,100.0,23.0,0.05,10,7,6.603891019170453,7.708784480687002,7.161848244138306
pinn,1000.0,23.0,0.05,10,7,18.672072478980738,21.564293150332894,19.19393485537833
magi,,23.0,0.05,10,8,0.590535925523073,1.4666323193747492,1.561881709325275
pinn,0.1,23.0,0.05,10,8,0.4046963275735732,0.6317422371028376,1.0340518688827804
pinn,1.0,23.0,0.05,10,8,1.482664495331643,1.8072497169649069,3.293441929224956
pinn,10.0,23.0,0.05,10,8,7.347000962029663,8.611007669354677,8.335881672844318
pinn,100.0,23.0,0.05,10,8,13.100262873864084,17.099496964343075,15.46912903399685
pinn,1000.0,23.0,0.05,10,8,17.68583568491567,21.129980954284104,17.97202714662274
magi,,23.0,0.05,10,9,0.33844065791511824,1.7063893872043197,1.2952519987291342
pinn,0.1,23.0,0.05,10,9,0.32661824287446106,0.20782695369818005,0.235126135634324
pinn,1.0,23.0,0.05,10,9,0.8788777371623135,1.5580097199397573,1.9309549729156872
pinn,10.0,23.0,0.05,10,9,1.5190251500017087,2.0354311695523584,2.4804701735207013
pinn,100.0,23.0,0.05,10,9,7.371685898950634,7.057528398451248,6.68990676643528
pinn,1000.0,23.0,0.05,10,9,18.328247947577413,19.910187700664125,17.543143861385058
magi,,23.0,0.05,10,10,0.5685043987272798,1.405619999418929,2.3147233452621623
pinn,0.1,23.0,0.05,10,10,0.3336156825914426,0.6158967152741316,0.7132482001479565
pinn,1.0,23.0,0.05,10,10,1.96477521502323,2.9384468169800324,3.19226651156086
