model,lmbda,rho,alpha,dobs,seed,X_pRMSE,Y_pRMSE,Z_pRMSE
pinn,100.0,23.0,0.05,10,50,8.861207280908799,11.05001776619512,10.62892409069336
pinn,1000.0,23.0,0.05,10,50,14.830864964216271,20.965671736759266,15.19448505944895
magi,,23.0,0.05,10,51,0.4168369078138871,1.2132444691723943,2.102626446110451
pinn,0.1,23.0,0.05,10,51,0.31847540810010316,0.20205736595183835,0.22472009942497556
pinn,1.0,23.0,0.05,10,51,1.6582499594617837,1.6408259233351685,2.3858920183837604
pinn,10.0,23.0,0.05,10,51,1.883974241148415,2.376094121703059,2.4501393781456637
pinn,100.0,23.0,0.05,10,51,9.744081250155327,10.372254561550793,10.287539066837327
pinn,1000.0,23.0,0.05,10,51,23.952312471895244,22.326374847361915,28.28547804479066
magi,,23.0,0.05,10,52,0.4349673204692438,1.868033969487611,2.6683852439669633
pinn,0.1,23.0,0.05,10,52,0.25472530212075023,0.4807481990796707,0.340544894888855
pinn,1.0,23.0,0.05,10,52,1.582021495691975,2.0650317845293062,2.362718847881903
pinn,10.0,23.0,0.05,10,52,4.065141389007051,5.73769383320551,4.962966535617122
pinn,100.0,23.0,0.05,10,52,8.361085468258088,10.870543848588337,15.930806127404963
pinn,1000.0,23.0,0.05,10,52,19.492281628016766,20.487680051764208,15.866260311025286
magi,,23.0,0.05,10,53,0.2970740807125608,2.0571161718666966,1.933762242513478
pinn,0.1,23.0,0.05,10,53,0.3199612429325795,0.20843231356630726,0.29117143301363557
pinn,1.0,23.0,0.05,10,53,1.1005090940691142,1.2581768648057772,1.1223825615896288
pinn,10.0,23.0,0.05,10,53,2.597582788069338,3.7754801390567394,2.742791413352759
pinn,100.0,23.0,0.05,10,53,7.842258165171066,9.790986645737483,9.320092742857508
pinn,1000.0,23.0,0.05,10,53,17.409038025271443,17.40068130396347,17.17991388191364
magi,,23.0,0.05,10,54,0.42222386537500667,1.8033687678768355,2.235379764552833
pinn,0.1,23.0,0.05,10,54,0.3721642513990383,0.2233396259886061,0.19923995600915922
pinn,1.0,23.0,0.05,10,54,1.4324946282335258,1.9000939211961911,3.0816467022219323
pinn,10.0,23.0,0.05,10,54,1.6121125140451875,1.717372113837974,2.0228555618608013
pinn,100.0,23.0,0.05,10,54,8.341858006058562,7.979325932940077,7.4948557354534975
pinn,1000.0,23.0,0.05,10,54,20.680266990449688,21.774464347614227,17.017546635022434
magi,,23.0,0.05,10,55,0.5554922897341938,2.0692053032788507,2.236057865956856
pinn,0.1,23.0,0.05,10,55,0.21398001308712522,0.23048088522371066,0.37620047374090543
pinn,1.0,23.0,0.05,10,55,1.3643311307464432,1.7742625113983688,3.0852032041183097
pinn,10.0,23.0,0.05,10,55,2.7110935093782755,3.9052518012973234,3.853937304699897
pinn,100.0,23.0,0.05,10,55,7.574931090372803,8.3878126542292,8.176141103501495
pinn,1000.0,23.0,0.05,10,55,17.39613386878779,17.047921303175773,17.041312850811927
magi,,23.0,0.05,10,56,0.42753638953942263,2.0449819540872647,1.7810780708224632
pinn,0.1,23.0,0.05,10,56,0.269068661553395,0.5291756103100519,0.4610367294937991
pinn,1.0,23.0,0.05,10,56,1.5172216260307807,1.7717701291517272,2.455835820212015
pinn,10.0,23.0,0.05,10,56,2.6181394342741755,3.9760775499893475,2.8719244585011348
pinn,100.0,23.0,0.05,10,56,7.659792704944107,8.529146472749861,6.875314204046228
pinn,1000.0,23.0,0.05,10,56,16.770441107913708,21.951965162295895,16.409849891433556
magi,,23.0,0.05,10,57,0.5854942922445207,1.974207263113752,1.8789653306667562
pinn,0.1,23.0,0.05,10,57,0.34731572970877506,0.19775472732406715,0.20200686848235488
pinn,1.0,23.0,0.05,10,57,1.4109567881240208,1.934404442470548,3.3056676363871462
pinn,10.0,23.0,0.05,10,57,1.6226547746802864,2.705138226461613,2.5013824007028167
pinn,100.0,23.0,0.05,10,57,6.906406096031465,11.114731895524532,12.092580238701137
pinn,1000.0,23.0,0.05,10,57,20.06230549503005,20.30820297957281,23.439224144490815
magi,,23.0,0.05,10,58,0.5164227636824275,1.0746558943866902,1.917681904389765
pinn,0.1,23.0,0.05,10,58,0.3143253807502139,0.2275285390024834,0.22187107874181033
pinn,1.0,23.0,0.05,10,58,1.1979572945100274,3.0700870960904783,3.1122502474640816
pinn,10.0,23.0,0.05,10,58,3.399227037253654,4.67540192093791,5.679618181685069
pinn,100.0,23.0,0.05,10,58,6.760702599018312,7.473471366234662,6.307153809014441
pinn,1000.0,23.0,0.05,10,58,17.305580899627824,21.846055275381925,16.81029305958414
magi,,23.0,0.05,10,59,0.42390613897917395,2.355722419640239,2.34899160181987
pinn,0.1,23.0,0.05,10,59,0.2375319233588667,0.3902979090703919,0.4433656897362676
pinn,1.0,23.0,0.05,10,59,0.6680500922035977,1.2414242793799026,3.005624945441543
pinn,10.0,23.0,0.05,10,59,2.149530429094054,2.147785661793001,2.852484515945982
pinn,100.0,23.0,0.05,10,59,6.081832691692497,6.014984365200034,7.453382191042211
pinn,1000.0,23.0,0.05,10,59,25.12113438463977,31.817709785211466,41.09995610528012
magi,,23.0,0.05,10,60,0.489665632013879,2.6978879363739807,2.7176566920891547
pinn,0.1,23.0,0.05,10,60,0.22793207395887863,0.23711177382200843,0.3024658497179989
pinn,1.0,23.0,0.05,10,60,1.2607860500432513,0.6835396167068701,1.1241182438066881
pinn,10.0,23.0,0.05,10,60,2.523255224774204,4.235607787369764,4.192840623935225
pinn,100.0,23.0,0.05,10,60,5.747371001912808,7.656891936845699,7.060258618982295
pinn,1000.0,23.0,0.05,10,60,23.441691847561323,25.15641950036602,28.20705010049385
magi,,23.0,0.05,10,61,0.4806181962011087,1.65028768534994,1.5869322822493144
pinn,0.1,23.0,0.05,10,61,0.3336705140212259,0.22625863260541676,0.2354034372473578
pinn,1.0,23.0,0.05,10,61,1.1123858799865423,0.42175245355281643,1.147819188105168
pinn,10.0,23.0,0.05,10,61,4.156414788450805,4.810075461949504,3.79858039502244
pinn,100.0,23.0,0.05,10,61,12.602109314370702,10.72220394585112,8.06618729451244
pinn,1000.0,23.0,0.05,10,61,25.778143705903226,23.7632164485214,22.74034033831131
magi,,23.0,0.05,10,62,0.6974957311648848,1.8125431711236717,1.8313668844097402
pinn,0.1,23.0,0.05,10,62,0.2295108017809482,0.2536782366153464,0.2502833319082836
pinn,1.0,23.0,0.05,10,62,1.5576153286019134,1.8616991165405854,2.8736678580186226
pinn,10.0,23.0,0.05,10,62,3.462369972031446,5.565325594669162,4.394622201053304
pinn,100.0,23.0,0.05,10,62,6.808176344712122,6.1755954974205,5.803501799036705
pinn,1000.0,23.0,0.05,10,62,20.245168389393232,20.452201967548522,15.234350355641928
magi,,23.0,0.05,10,63,0.38907128572011074,0.9324416865925919,2.4772841256664284
pinn,0.1,23.0,0.05,10,63,0.2669796958105794,0.18667766840441682,0.2274537797845523
pinn,1.0,23.0,0.05,10,63,1.3209966533727633,2.0880832940496994,2.694726171378293
pinn,10.0,23.0,0.05,10,63,3.658231046008153,4.757529334434812,4.406041049213249
pinn,100.0,23.0,0.05,10,63,8.079983936853111,7.998164656000713,8.981812231488412
pinn,1000.0,23.0,0.05,10,63,18.207954476259815,21.68426684394799,17.605807747587612
magi,,23.0,0.05,10,64,0.49795592676932515,2.303547077977172,2.1582710727987005
pinn,0.1,23.0,0.05,10,64,0.21460026206721022,0.2220114917416231,0.31324140282407964
pinn,1.0,23.0,0.05,10,64,0.7477058385362222,1.4190606764392448,3.01154916359221
pinn,10.0,23.0,0.05,10,64,2.883416460481219,5.116699306192548,3.805998120307931
pinn,100.0,23.0,0.05,10,64,7.610400956255144,8.229319996988886,9.05657652380912
pinn,1000.0,23.0,0.05,10,64,18.488340777982987,21.48591628877478,16.72808182811856
magi,,23.0,0.05,10,65,0.4433566769821792,0.970924500206219,2.164035770806314
pinn,0.1,23.0,0.05,10,65,0.34912728237717466,0.20534888236129634,0.18795674911665136
pinn,1.0,23.0,0.05,10,65,1.0199758333809819,0.44304256822943205,1.2402636139892345
pinn,10.0,23.0,0.05,10,65,3.8195802427369716,5.473679857341509,4.34101855168813
pinn,100.0,23.0,0.05,10,65,7.637948903621269,11.495130711542055,7.813924418957768
pinn,1000.0,23.0,0.05,10,65,20.236276013647803,20.48597145878403,18.200855015522627
magi,,23.0,0.05,10,66,0.5713824185674002,2.085468114119541,2.3602673505764744
pinn,0.1,23.0,0.05,10,66,0.3390283497676219,0.2336287376033717,0.2568335748495479
pinn,1.0,23.0,0.05,10,66,1.7301859731206826,1.636277436797266,2.3244200850360057
pinn,10.0,23.0,0.05,10,66,2.1633844546619736,3.394802044192303,2.9285424282626424
pinn,100.0,23.0,0.05,10,66,7.254492731345219,10.001747590504777,8.886473529657613
pinn,1000.0,23.0,0.05,10,66,22.90927586807673,28.432168752700406,32.546098123337785
magi,,23.0,0.05,10,67,0.42122848991584605,1.6848334255616386,1.603058638760553
pinn,0.1,23.0,0.05,10,67,0.24485653472322425,0.5724503280273325,0.6986256060505527
pinn,1.0,23.0,0.05,10,67,1.3690647961547053,2.1855856462404373,2.351560351781574
pinn,10.0,23.0,0.05,10,67,3.400955096625071,4.9635155230492325,3.924135027930573
pinn,100.0,23.0,0.05,10,67,7.344633250667928,6.787252893732001,6.51895551380382
pinn,1000.0,23.0,0.05,10,67,18.64747864308213,18.39393212920005,19.11678636459974
magi,,23.0,0.05,10,68,0.5318737530584636,1.4797859836840501,2.0959142678624185
pinn,0.1,23.0,0.05,10,68,0.21070533011166206,0.2671289240970248,0.3518460986840547
pinn,1.0,23.0,0.05,10,68,0.983829222393588,2.437334031087765,1.1410876388121614
pinn,10.0,23.0,0.05,10,68,3.426308276602524,3.7081110217858355,3.575205264873774
pinn,100.0,23.0,0.05,10,68,7.41957093603746,7.876826272525679,7.667466879034714
pinn,1000.0,23.0,0.05,10,68,21.98999130130274,20.226967984577087,20.048105693386713
magi,,23.0,0.05,10,69,0.45173293581946394,1.5175365588623806,2.3252507175993147
pinn,0.1,23.0,0.05,10,69,0.25273755758883915,0.35186946431381716,0.2962601979235629
pinn,1.0,23.0,0.05,10,69,1.3946802208186002,2.6730827167169338,2.963299522627639
pinn,10.0,23.0,0.05,10,69,2.4472769974295585,2.57912211823664,2.027173149020255
pinn,100.0,23.0,0.05,10,69,9.898933553998031,9.103779970219001,7.915833973850608
pinn,1000.0,23.0,0.05,10,69,22.84387214249204,30.027966747355347,33.447871629015275
magi,,23.0,0.05,10,70,0.2521307150446099,2.183437086868365,1.8833386436470694
pinn,0.1,23.0,0.05,10,70,0.3058593694713271,0.1954113926109754,0.22647784318456454
pinn,1.0,23.0,0.05,10,70,0.9756892042435146,1.2869581270774253,1.8570096511617022
pinn,10.0,23.0,0.05,10,70,2.551397948168483,2.693782619614296,2.514830639886685
pinn,100.0,23.0,0.05,10,70,8.796644366299947,11.15235327412138,16.6954330884074
pinn,1000.0,23.0,0.05,10,70,18.004297670149672,22.712569518638063,23.437338581708676
magi,,23.0,0.05,10,71,0.5862577052429808,1.4257028870264905,2.0203738361319834
pinn,0.1,23.0,0.05,10,71,0.34175131282351245,0.5780185931473389,0.4973045015538449
pinn,1.0,23.0,0.05,10,71,1.0638932550409275,2.2176766974487876,2.067988156061739
pinn,10.0,23.0,0.05,10,71,4.9786164505337345,7.370630530783362,11.2323917197439
pinn,100.0,23.0,0.05,10,71,8.085788835645818,7.7696709237412795,9.210361906278793
pinn,1000.0,23.0,0.05,10,71,20.32342816195093,20.162153713892135,21.665321615765883
magi,,23.0,0.05,10,72,0.48058902590999336,1.7221477715877767,2.1297872163111626
pinn,0.1,23.0,0.05,10,72,0.38188810800169487,0.19574877564119725,0.20159198026137537
pinn,1.0,23.0,0.05,10,72,1.171780884683628,1.830694241074075,3.286060249735327
pinn,10.0,23.0,0.05,10,72,6.453932765212109,6.044446071697399,7.676674176532001
pinn,100.0,23.0,0.05,10,72,10.54294246086637,7.5054386972119485,9.936567962840163
pinn,1000.0,23.0,0.05,10,72,22.641213618059407,18.278338097748787,17.828691547693996
magi,,23.0,0.05,10,73,0.4163515692383453,1.3229473279882529,2.113574093495823
pinn,0.1,23.0,0.05,10,73,0.3252724721395015,0.21123257285586403,0.22194873673499296
pinn,1.0,23.0,0.05,10,73,1.3691142716091786,2.2073937483154444,2.80659385490769
pinn,10.0,23.0,0.05,10,73,5.747366334012357,6.963946809690269,4.935602798797815
pinn,100.0,23.0,0.05,10,73,6.7080106233253,7.406527423189837,6.736974603065929
pinn,1000.0,23.0,0.05,10,73,25.21565722169173,27.241743745396928,21.7999807090077
magi,,23.0,0.05,10,74,0.408209175140351,2.7441816926168756,1.804714021331919
pinn,0.1,23.0,0.05,10,74,0.4675701839329239,0.5195176907750342,0.5683871675614912
pinn,1.0,23.0,0.05,10,74,0.7473977278113407,1.337124045497086,2.019002237900649
pinn,10.0,23.0,0.05,10,74,2.41371993352562,2.89298580763992,2.674382514423805
pinn,100.0,23.0,0.05,10,74,7.55840485942939,8.391708943695477,7.6125115508715915
pinn,1000.0,23.0,0.05,10,74,19.643919941249003,20.81568786374981,22.04490172540263
magi,,23.0,0.05,10,75,0.3701667223621433,2.5607067667794565,2.370885605778875
pinn,0.1,23.0,0.05,10,75,0.21591008348904503,0.24328892071214042,0.31839616633744944
pinn,1.0,23.0,0.05,10,75,1.3611054129042708,1.8289583073729563,3.1801302308632504
pinn,10.0,23.0,0.05,10,75,0.07498188119983926,0.00041624517763261845,0.07591348868224837
pinn,100.0,23.0,0.05,10,75,7.472438793221955,6.579761121827749,6.701367440412657
pinn,1000.0,23.0,0.05,10,75,20.289274717127867,17.21111415579824,19.316338005514343
magi,,23.0,0.05,10,76,0.6070360981806274,1.8229959686536632,2.709385799598073
pinn,0.1,23.0,0.05,10,76,0.25607753642511877,0.15980013158843528,0.21574797685395047
pinn,1.0,23.0,0.05,10,76,1.0497294260246313,1.563114039976278,1.144686847911837
pinn,10.0,23.0,0.05,10,76,1.9522566255225076,2.3739135230153594,2.2026657891870767
pinn,100.0,23.0,0.05,10,76,8.574666214857944,7.526232264991518,6.544040622268453
pinn,1000.0,23.0,0.05,10,76,18.28625260347969,20.087342576229343,16.217222818287674
magi,,23.0,0.05,10,77,0.4379182706964088,2.0172078565393226,2.2948398925321034
pinn,0.1,23.0,0.05,10,77,0.24005318371772977,0.27626909764539986,0.30958753886668794
pinn,1.0,23.0,0.05,10,77,1.0161832575466105,0.5915554809306831,1.133063180543336
pinn,10.0,23.0,0.05,10,77,3.222500583560399,4.7943731355562935,4.665686421528119
pinn,100.0,23.0,0.05,10,77,7.355985558387925,6.830063279677424,7.733307436326127
pinn,1000.0,23.0,0.05,10,77,18.266298604498413,18.890311871052184,19.632868250181915
magi,,23.0,0.05,10,78,0.5044209494009114,1.4909776017521168,2.0137002342330095
pinn,0.1,23.0,0.05,10,78,0.30850295417452095,0.1856787756006713,0.21406148819055618
pinn,1.0,23.0,0.05,10,78,1.0291164546588345,2.2480793317641226,2.08995753237492
pinn,10.0,23.0,0.05,10,78,2.296223341533051,4.4366497889088,4.03044125263639
pinn,100.0,23.0,0.05,10,78,6.969556266234115,8.412211642259512,6.288478922049236
pinn,1000.0,23.0,0.05,10,78,18.643817211669255,19.44637705614945,15.606656898072602
magi,,23.0,0.05,10,79,0.5005852048975292,2.651430671418424,1.8838687558389062
pinn,0.1,23.0,0.05,10,79,0.21502078888901624,0.3556233534042518,0.29121997163663144
pinn,1.0,23.0,0.05,10,79,1.1504292411268828,0.6184765591523834,1.190255010562308
pinn,10.0,23.0,0.05,10,79,1.5902787939395036,2.550019300611365,1.9027497527944428
pinn,100.0,23.0,0.05,10,79,6.865529741603701,7.481582109744779,7.59698085831385
pinn,1000.0,23.0,0.05,10,79,20.217851265828788,26.72516249052943,20.289734759724137
magi,,23.0,0.05,10,80,0.30182937104880225,2.401872700167116,2.0685128192556324
pinn,0.1,23.0,0.05,10,80,0.18084250026617454,0.27172241956753046,0.34994728157793903
pinn,1.0,23.0,0.05,10,80,0.6272144018030839,1.261093259360325,2.0305614567808874
pinn,10.0,23.0,0.05,10,80,4.013979048490708,4.263559465809527,3.7447634580741074
pinn,100.0,23.0,0.05,10,80,8.165799735024047,7.022697160305897,7.659615565352015
pinn,1000.0,23.0,0.05,10,80,19.78026536558583,20.39168772737589,22.355945022259426
magi,,23.0,0.05,10,81,0.4176566468852761,2.5156054731100075,2.0864232864098446
pinn,0.1,23.0,0.05,10,81,0.21500595600123715,0.24502202848190666,0.2888313021212799
pinn,1.0,23.0,0.05,10,81,1.3994074908976726,1.7058255247944212,2.8333815198123156
pinn,10.0,23.0,0.05,10,81,4.053046161626596,6.587306997764179,6.742221611599149
pinn,100.0,23.0,0.05,10,81,7.145997879591338,6.869982299932667,6.437229505013802
pinn,1000.0,23.0,0.05,10,81,18.917933627623174,20.87961823859826,18.02714400310061
magi,,23.0,0.05,10,82,0.5792781569170673,1.8132594952151713,2.3433096288080844
pinn,0.1,23.0,0.05,10,82,0.2634498868298337,0.5466488408633612,0.6421159740721782
pinn,1.0,23.0,0.05,10,82,1.3249835661979226,1.688043969846508,3.0147051129973415
pinn,10.0,23.0,0.05,10,82,3.9082816361105834,4.27645734497903,5.341265766577473
pinn,100.0,23.0,0.05,10,82,8.065312111141603,8.096570275352944,7.648730066202082
pinn,1000.0,23.0,0.05,10,82,19.800303801156872,17.17981404500436,19.447401711712992
magi,,23.0,0.05,10,83,0.45359493478356044,1.9267475720216583,2.3132609853396544
pinn,0.1,23.0,0.05,10,83,0.2703077583770857,0.5075176972219443,0.4499011791353272
pinn,1.0,23.0,0.05,10,83,0.6884796553133553,1.03624275043326,1.9384616608078573
pinn,10.0,23.0,0.05,10,83,2.0220824917841442,2.399642313405633,2.308831194926303
pinn,100.0,23.0,0.05,10,83,6.725475010983548,7.014281976003073,6.6532903338738265
pinn,1000.0,23.0,0.05,10,83,18.559658458061246,21.077366454058332,19.616757875826032
magi,,23.0,0.05,10,84,0.41515922227701907,3.0522001460280044,1.9279227100964909
pinn,0.1,23.0,0.05,10,84,0.3050944488811415,0.20051572037037735,0.22783095400135578
pinn,1.0,23.0,0.05,10,84,0.9449698702887649,1.4964663181640838,3.0581998364198553
pinn,10.0,23.0,0.05,10,84,2.3607523501155043,3.3675539905204883,3.201973759143486
pinn,100.0,23.0,0.05,10,84,6.313024010543868,7.932033016492205,7.2160065480870985
pinn,1000.0,23.0,0.05,10,84,16.408882086914794,17.468904501747883,17.792265878601274
magi,,23.0,0.05,10,85,0.30136675090114223,1.8514078790844166,2.3502409236357154
pinn,0.1,23.0,0.05,10,85,0.3085391042955774,0.19758009133768784,0.23924277384239087
pinn,1.0,23.0,0.05,10,85,1.1788465028447708,2.1405622565162057,2.4800474706320434
pinn,10.0,23.0,0.05,10,85,5.110840094500762,5.4656354485336225,5.047257523507977
pinn,100.0,23.0,0.05,10,85,7.899784279058324,7.573089648942052,7.0658546850587465
pinn,1000.0,23.0,0.05,10,85,20.130947232379295,19.59954921513598,17.62349351220692
magi,,23.0,0.05,10,86,0.4650569231341693,2.3695472470636356,1.923600170855641
pinn,0.1,23.0,0.05,10,86,0.285860412608703,0.46809859227531425,0.6691707760369415
pinn,1.0,23.0,0.05,10,86,2.0753416737323183,2.7549587070358332,2.1267813900523183
pinn,10.0,23.0,0.05,10,86,2.702202619344056,3.515004981842259,3.04275750363221
pinn,100.0,23.0,0.05,10,86,7.274519365601963,9.014503182996988,8.148902893934983
pinn,1000.0,23.0,0.05,10,86,17.937779449736613,20.888049652018392,17.473339767288447
magi,,23.0,0.05,10,87,0.3203586879739481,1.7571137672482988,2.4189518658328177
pinn,0.1,23.0,0.05,10,87,0.29039389628804174,0.2024519323228951,0.22399153251015635
pinn,1.0,23.0,0.05,10,87,3.3697405110989758,1.8418009977576182,1.9044842171111238
pinn,10.0,23.0,0.05,10,87,2.1670057044473245,2.7555380263689564,2.2598720226049966
pinn,100.0,23.0,0.05,10,87,6.5721328355725275,7.167047697992345,6.233106000721042
pinn,1000.0,23.0,0.05,10,87,19.352939093599716,20.18542453033872,16.57570172294913
magi,,23.0,0.05,10,88,0.3650218119476522,2.1240725675735037,3.1853954968992335
pinn,0.1,23.0,0.05,10,88,0.3563134502580759,0.21326121744947485,0.20623838508924222
pinn,1.0,23.0,0.05,10,88,1.090801678243707,0.5412338923686162,1.1599429177585407
pinn,10.0,23.0,0.05,10,88,4.163584201051271,5.813020871487924,5.952799161806987
pinn,100.0,23.0,0.05,10,88,13.346947656426586,10.828305815445756,9.20097691078567
pinn,1000.0,23.0,0.05,10,88,20.627323671255922,20.345932667144453,19.52787877130051
magi,,23.0,0.05,10,89,0.5154181191086843,1.9742480388933705,2.0984351871422007
pinn,0.1,23.0,0.05,10,89,0.32911498412813345,0.1917045180251883,0.20763429281831433
pinn,1.0,23.0,0.05,10,89,1.188192542146329,0.7547221834875564,1.1344233424815604
pinn,10.0,23.0,0.05,10,89,2.8906042646436476,3.876629639534312,3.001080635137526
pinn,100.0,23.0,0.05,10,89,7.209029318915549,6.82042634553038,7.006082870469819
pinn,1000.0,23.0,0.05,10,89,23.02649012273285,21.36937413179623,22.83279786124223
magi,,23.0,0.05,10,90,0.2789703805230581,2.0720965299969554,2.40051084188953
pinn,0.1,23.0,0.05,10,90,0.34459454754195457,0.20927787887724814,0.22316736998023978
pinn,1.0,23.0,0.05,10,90,1.1194205415934537,6.879906582707358,1.1227237905649368
pinn,10.0,23.0,0.05,10,90,3.338023097907749,3.3620926084620373,3.7040613478903843
pinn,100.0,23.0,0.05,10,90,8.515351623233558,8.274080273748684,6.907543089582959
pinn,1000.0,23.0,0.05,10,90,20.286007624736772,20.075054686575847,19.369755083595294
magi,,23.0,0.05,10,91,0.5353427676187362,2.2026678632797223,2.9511362276090387
pinn,0.1,23.0,0.05,10,91,0.29449522614232637,0.19288576750594974,0.22005054376943217
pinn,1.0,23.0,0.05,10,91,1.3746965745594741,3.412179641227354,2.6824328212415725
pinn,10.0,23.0,0.05,10,91,1.8729332144955209,2.3573456194002524,2.106136152038612
pinn,100.0,23.0,0.05,10,91,7.6057866442621,7.725533158889829,8.269262921447954
pinn,1000.0,23.0,0.05,10,91,18.959294111479885,17.87783996871902,17.646975886439343
magi,,23.0,0.05,10,92,0.4575095507677992,2.3395065511605875,1.988463679343765
pinn,0.1,23.0,0.05,10,92,0.153470181026203,0.13340051923665752,0.24363905876328423
pinn,1.0,23.0,0.05,10,92,1.1332345760996043,1.5786395164915226,1.3371874370340522
pinn,10.0,23.0,0.05,10,92,5.0092842404118585,11.658330393556831,10.042513336561044
pinn,100.0,23.0,0.05,10,92,8.266543579196556,7.489328929149059,7.877109313616504
pinn,1000.0,23.0,0.05,10,92,18.671479071304674,20.4187758490393,18.581847010637468
magi,,23.0,0.05,10,93,0.690766863709544,1.804792744856405,2.2796456549779096
pinn,0.1,23.0,0.05,10,93,0.2246353636249235,0.31630462969764467,0.34531296012555013
pinn,1.0,23.0,0.05,10,93,0.7278750455889045,1.1944000588389259,2.015428245086104
pinn,10.0,23.0,0.05,10,93,3.1195870661496063,4.879791317487859,5.609578225636945
pinn,100.0,23.0,0.05,10,93,8.207640270640475,8.270108825928597,6.054098102929007
pinn,1000.0,23.0,0.05,10,93,17.731471483702745,22.4966231615049,16.174546244174376
magi,,23.0,0.05,10,94,0.5149733190321315,1.5419433105306135,2.1187049229649446
pinn,0.1,23.0,0.05,10,94,0.2830551433496056,0.3566624410682053,0.4728227137739358
pinn,1.0,23.0,0.05,10,94,1.8003183056544778,1.7968363990901115,2.2820101898123233
pinn,10.0,23.0,0.05,10,94,3.4605524123590286,5.245080708192857,4.294852653010142
pinn,100.0,23.0,0.05,10,94,9.604082691405262,11.623394648688686,9.220911337753696
pinn,1000.0,23.0,0.05,10,94,21.187312959798017,23.236295794241276,17.26556062524648
magi,,23.0,0.05,10,95,0.2603316167722487,2.0642787922358634,2.2233619853908184
pinn,0.1,23.0,0.05,10,95,0.20948170163170202,0.2463871807033277,0.301971855109304
pinn,1.0,23.0,0.05,10,95,3.5537244688245555,1.769006094843826,1.859559989893507
pinn,10.0,23.0,0.05,10,95,2.0692467706916067,3.545028986904508,3.384749818520744
pinn,100.0,23.0,0.05,10,95,6.593557392458346,6.91627916088003,6.046865269438224
pinn,1000.0,23.0,0.05,10,95,17.66657466634342,20.600542183874495,15.845400195459678
magi,,23.0,0.05,10,96,0.5445973948674971,1.5904404336566613,2.223879659127446
pinn,0.1,23.0,0.05,10,96,0.22334768880497624,0.22585937189221608,0.3079998278567743
pinn,1.0,23.0,0.05,10,96,1.1768167210630733,2.378930151167093,2.3781911305909857
pinn,10.0,23.0,0.05,10,96,2.226224778336716,2.5793700148140624,2.368977082312115
pinn,100.0,23.0,0.05,10,96,7.678054210043462,7.1473250283757395,6.405051894784311
pinn,1000.0,23.0,0.05,10,96,22.296745164059462,20.8056884922046,20.121454313623968
magi,,23.0,0.05,10,97,0.34673320739904046,2.8008766586136287,2.455617465316045
pinn,0.1,23.0,0.05,10,97,0.25073360874711875,0.25442151580437267,0.32684745761956774
pinn,1.0,23.0,0.05,10,97,0.6729496894646427,1.212595915360738,1.9617000250636396
pinn,10.0,23.0,0.05,10,97,3.3444960711705765,3.9172200494477836,4.69314978432931
pinn,100.0,23.0,0.05,10,97,6.583698285366785,8.358589838662875,7.222996648451546
pinn,1000.0,23.0,0.05,10,97,21.287594623743992,21.256086165779962,18.916128905153037
magi,,23.0,0.05,10,98,0.33476695531238976,1.8487673741784068,2.615150332749344
pinn,0.1,23.0,0.05,10,98,0.34928329897116284,0.213997885247608,0.18837370514396387
pinn,1.0,23.0,0.05,10,98,1.762345533529863,2.543857394641466,2.2775146886745286
pinn,10.0,23.0,0.05,10,98,2.795637756792689,3.4196050253853594,3.0429085785507355
pinn,100.0,23.0,0.05,10,98,8.109950471344359,8.544982092040645,8.127388075466829
pinn,1000.0,23.0,0.05,10,98,17.47224892885703,19.795267219417315,17.842927206004042
magi,,23.0,0.05,10,99,0.40152780571452723,1.4624618251926604,2.2964435990789642
pinn,0.1,23.0,0.05,10,99,0.31236052198586683,0.2013372934964041,0.23790082495739423
pinn,1.0,23.0,0.05,10,99,1.3537701374409463,2.7654971645742177,2.5322183525496276
pinn,10.0,23.0,0.05,10,99,3.298665444255103,5.541051580331087,6.189659784755077
pinn,100.0,23.0,0.05,10,99,8.0037681528721,13.953479588388559,14.522334251445116
pinn,1000.0,23.0,0.05,10,99,18.422021154858438,21.506830586034283,17.618948596911196
magi,,28.0,0.05,10,0,0.34210011000081736,2.57957380731975,3.785739880843396
pinn,0.1,28.0,0.05,10,0,0.3208229619711864,0.12445739339658021,0.15135594328388163
pinn,1.0,28.0,0.05,10,0,3.177520443296712,1.1948829097849354,1.5126639423750619
pinn,10.0,28.0,0.05,10,0,3.7804696090923384,6.6020487554093705,6.479804639941742
pinn,100.0,28.0,0.05,10,0,9.960940198641199,11.549865312090777,11.386890488154359
pinn,1000.0,28.0,0.05,10,0,21.20154680771982,27.784028589052053,26.935119949454513
magi,,28.0,0.05,10,1,0.46508693355739517,2.0045700422463626,3.4797624311841098
pinn,0.1,28.0,0.05,10,1,0.42294655417788657,0.11665473644369521,0.13063855952257108
pinn,1.0,28.0,0.05,10,1,3.3438940798316534,1.216373479745511,1.4318934039591813
pinn,10.0,28.0,0.05,10,1,2.7643879207169886,5.352725839776494,4.26322254358141
pinn,100.0,28.0,0.05,10,1,7.640664356650835,8.595483629721002,8.404587368192546
pinn,1000.0,28.0,0.05,10,1,22.604255721907933,28.99272375096238,34.39563648231421
magi,,28.0,0.05,10,2,0.42419836640970493,3.114781507594025,2.855968675615298
pinn,0.1,28.0,0.05,10,2,0.309965516319812,0.17420091209859281,0.14549941579718323
