model,lmbda,rho,alpha,dobs,seed,betahat,betahat_LB,betahat_UB,betahat_err,rhohat,rhohat_LB,rhohat_UB,rhohat_err,sigmahat,sigmahat_LB,sigmahat_UB,sigmahat_err,X_rmse,Y_rmse,Z_rmse
magi,,23.0,0.05,10,0,2.6730384098427407,2.585917090096838,2.7631852724244013,0.0063717431760741405,22.71092465521902,22.404185313224716,23.01358479201232,-0.2890753447809793,9.140882724958695,8.349260661848994,10.009428122779537,-0.8591172750413048,0.30500713333513946,0.39296705019977013,0.5055081534852107
magi,,23.0,0.05,10,1,2.640144133471729,2.5285415722538267,2.7570985310418448,-0.02652253319493747,23.11045678692441,22.727724009685307,23.51454530314614,0.1104567869244093,8.269724053932165,7.5339351331831335,9.043132742501731,-1.7302759460678345,0.5025581780251135,0.6472043893939274,0.6435249247303085
magi,,23.0,0.05,10,10,2.646823777393302,2.542412200057311,2.7540721797340066,-0.019842889273364417,23.091494948148597,22.721590374899176,23.471881912970147,0.09149494814859693,9.393532936621106,8.544463037854184,10.303444459205608,-0.6064670633788936,0.24197230244356505,0.28332584173860864,0.445736602721803
magi,,23.0,0.05,10,11,2.626835343275895,2.519231855917335,2.7304413406162262,-0.039831323390771445,22.89428564554555,22.52347612128246,23.258266775778928,-0.10571435445444877,8.69260594301962,7.865754048965995,9.608676137688986,-1.30739405698038,0.3403548824188934,0.42789867747226273,0.4622363884640315
magi,,23.0,0.05,10,12,2.577134600889756,2.4762506094664656,2.6759132557997485,-0.08953206577691031,22.806134879147542,22.45777954254753,23.151327845083213,-0.19386512085245755,8.149344807001354,7.4049376477581985,8.995704602226496,-1.8506551929986461,0.5563611292464657,0.5186737991121134,0.6223097259282242
magi,,23.0,0.05,10,13,2.7022618703634023,2.6006205123647588,2.8015523788013725,0.035595203696735744,23.160869803694368,22.774680825453395,23.53513901118582,0.16086980369436787,9.21762076032061,8.395292693197723,10.104016064065025,-0.7823792396793898,0.31779278998990984,0.49088301595317013,0.5647610406787534
magi,,23.0,0.05,10,14,2.592971147956695,2.499103647777197,2.689943699056142,-0.07369551870997171,22.617148610396708,22.284471390999137,22.946563780400112,-0.38285138960329235,9.031413793900105,8.308797949244427,9.817487155784395,-0.9685862060998947,0.3662206985245345,0.3348208291439325,0.45249468301401224
magi,,23.0,0.05,10,15,2.647025098188572,2.5387462335246846,2.7527058018703427,-0.019641568478094396,22.786796435603115,22.406205565960846,23.160526828595458,-0.21320356439688481,9.261767046906968,8.431090844462476,10.150918561370615,-0.738232953093032,0.2322505956670203,0.3123436723747143,0.42063615386635955
magi,,23.0,0.05,10,16,2.615218803700947,2.51878065767367,2.711400945146639,-0.05144786296571935,22.79043680300575,22.45060853707448,23.129795330939288,-0.20956319699424952,8.94551426488538,8.216566280859224,9.750392384018344,-1.0544857351146195,0.46355270488589523,0.5102408534124845,0.6094951778515962
magi,,23.0,0.05,10,17,2.666958228172787,2.5621581816330252,2.7695177344241775,0.0002915615061205301,22.91044460536449,22.556090509189264,23.263759722048658,-0.08955539463551077,9.20796128817751,8.386461502506577,10.08286794883806,-0.7920387118224905,0.3761378126488581,0.45097157858220255,0.5765526953982991
